Table S1.4. List of populations and ethnicity codes (Latitudes and Longitudes are not necessarily the sampling location)									
Numeric Code	Code	Linguistic Group	Tribe	Biogeography	Biogeography Code	Number of samples	Sample Collecting Institute	Latitude	Longitude
1	IE_NRP_2_05	IE	No	Northern Riverine Plains	NRP	149	AIIMS-Jodhpur, CBR, IGIB	29.46905	74.63424
2	IE_NRP_2_08	IE	No	Northern Riverine Plains	NRP	160	IGIB	30.97024	74.62864
3	IE_WPL_2_02	IE	No	Western Plains	WPL	62	AIIMS-Jodhpur	25.78517	73.34731
4	IE_WHR_1_02	IE	Yes	Western Himalayas	WHR	67	SKIMS	33.75874	74.11169
5	IE_WHR_2_04	IE	No	Western Himalayas	WHR	145	SKIMS	34.1115	74.80691
6	IE_WPL_1_01	IE	Yes	Western Plains	WPL	161	AIIMS-Jodhpur, IGIB	25.27805	72.64705
7	IE_WHR_2_05	IE	No	Western Himalayas	WHR	140	SKIMS	33.65982	75.12447
8	IE_NRP_2_02	IE	No	Northern Riverine Plains	NRP	161	IGIB	28.21894	76.64396
9	IE_NRP_2_11	IE	No	Northern Riverine Plains	NRP	195	IGIB	30.5795	74.9647
10	IE_WCP_2_01	IE	No	Western Coastal Plains	WCP	59	GBRC	23.92684	72.37866
11	IE_NRP_2_10	IE	No	Northern Riverine Plains	NRP	166	CBR, IGIB	26.79909	82.2047
12	IE_WPL_2_03	IE	No	Western Plains	WPL	99	AIIMS-Jodhpur, GBRC	26.29787	73.0189
13	IE_NRP_2_06	IE	No	Northern Riverine Plains	NRP	164	CBR, IGIB	27.05388	79.91546
14	IE_WHR_2_01	IE	No	Western Himalayas	WHR	181	SKIMS	32.6925	74.84865
15	IE_ERP_2_02	IE	No	Eastern Riverine Plains	ERP	186	IBSD, IGIB	26.11918	85.90472
16	IE_WHR_2_03	IE	No	Western Himalayas	WHR	74	CBR	30.70756	77.43646
17	IE_WHR_2_02	IE	No	Western Himalayas	WHR	164	CBR, IGIB	30.5149	79.096
18	TB_WHR_1_01	TB	Yes	Western Himalayas	WHR	38	SKIMS	34.61924	76.09599
19	IE_NRP_2_12	IE	No	Northern Riverine Plains	NRP	154	CBR, IGIB	25.591	81.4009
20	IE_NRP_2_13	IE	No	Northern Riverine Plains	NRP	191	AIIMS-Jodhpur, IGIB	25.68469	82.61752
21	DR_WCP_2_02	DR	No	Western Coastal Plains	WCP	162	RGCB	10.76217	76.44463
22	IE_ECP_2_02	IE	No	Eastern Coastal Plains	ECP	175	ILSB	19.79357	85.81047
23	IE_NDN_2_01	IE	No	North Deccan	NDN	163	IISER-Pune	17.681	75.33812
24	IE_NCH_2_01	IE	No	North Central Highlands	NCH	126	AIIMS-Jodhpur	24.95705	73.55443
25	IE_WCP_2_03	IE	No	Western Coastal Plains	WCP	164	IISER-Pune	17.52337	73.52904
26	DR_ECP_2_02	DR	No	Eastern Coastal Plains	ECP	165	CBR, NIMHANS	10.89132	78.70385
27	IE_ERP_2_04	IE	No	Eastern Riverine Plains	ERP	162	NIBMG	22.89764	87.66321
28	IE_WPL_2_01	IE	No	Western Plains	WPL	113	IGIB	28.04718	73.16128
29	DR_ECP_2_08	DR	No	Eastern Coastal Plains	ECP	145	CBR, CCMB	16.23252	80.61867
30	DR_WCP_2_01	DR	No	Western Coastal Plains	WCP	162	RGCB	12.17477	75.15518
31	IE_WCP_2_04	IE	No	Western Coastal Plains	WCP	140	GBRC	23.22329	72.64923
32	IE_NRP_2_07	IE	No	Northern Riverine Plains	NRP	155	CBR, IGIB, BRIC-NIBMG	25.303	81.96145
33	IE_WHR_1_01	IE	Yes	Western Himalayas	WHR	76	IGIB	29.9141	78.4733
34	IE_ECP_2_01	IE	No	Eastern Coastal Plains	ECP	143	BRIC-NIBMG	20.46883	85.51535
35	IE_NRP_2_03	IE	No	Northern Riverine Plains	NRP	158	IGIB	25.62389	83.74291
36	IE_ERP_2_01	IE	No	Eastern Riverine Plains	ERP	170	BRIC-NIBMG	22.29733	87.64977
37	IE_ERP_2_03	IE	No	Eastern Riverine Plains	ERP	156	ILSB, BRIC-NIBMG	22.93826	88.75986
38	IE_WCP_2_05	IE	No	Western Coastal Plains	WCP	70	GBRC	22.30191	70.73847
39	IE_NDN_2_02	IE	No	North Deccan	NDN	164	IISER-Pune	18.58916	74.03317
40	IE_SCH_1_01	IE	Yes	South Central Highlands	SCH	80	AIIMS-Jodhpur	22.73167	74.83166
