Permutation	rank_1	rank_2	rank_3	rank_4	rank_5	rank_6	rank_7	rank_8	rank_9	rank_10	rank_11	rank_12	rank_13	rank_14	rank_15	rank_16	rank_17	rank_18	rank_19	rank_20	rank_21	rank_22	rank_23	rank_24	rank_25	rank_26	rank_27	rank_28	rank_29	rank_30	rank_31	rank_32	rank_33	rank_34	rank_35	rank_36	rank_37	rank_38	rank_39	rank_40	rank_41	rank_42	rank_43	rank_44	rank_45	rank_46	rank_47	rank_48	rank_49	rank_50	rank_51	rank_52	rank_53	rank_54	rank_55	rank_56	rank_57	rank_58	rank_59	rank_60	rank_61	rank_62	rank_63	rank_64	rank_65	rank_66	rank_67	rank_68	rank_69	rank_70	rank_71	rank_72	rank_73	rank_74	rank_75	rank_76	rank_77	rank_78	rank_79	rank_80	rank_81	rank_82	rank_83	rank_84	rank_85	rank_86	rank_87	rank_88	rank_89	rank_90	rank_91	rank_92	rank_93	rank_94	rank_95	rank_96	rank_97	rank_98	rank_99	rank_100	rank_101	rank_102	rank_103	rank_104	rank_105	rank_106	rank_107	rank_108	rank_109	rank_110	rank_111	rank_112	rank_113	rank_114	rank_115	rank_116	rank_117	rank_118	rank_119	rank_120	rank_121	rank_122	rank_123	rank_124	rank_125	rank_126	rank_127	rank_128	rank_129	rank_130	rank_131	rank_132	rank_133	rank_134	rank_135	rank_136	rank_137	rank_138	rank_139	rank_140	rank_141	rank_142	rank_143	rank_144	rank_145	rank_146	rank_147	rank_148	rank_149	rank_150	rank_151	rank_152	rank_153	rank_154	rank_155	rank_156	rank_157	rank_158
1	55508	73631	87234	95726	102305	108037	113824	118842	123663	128158	132451	136014	140353	144191	147718	151605	155094	158669	162248	165613	169054	172181	175374	178427	181703	184785	187975	190974	194976	197955	201152	203998	207354	210023	212845	215697	218335	221176	223971	225880	228448	231201	233594	236238	240123	242598	250528	253384	255810	258243	260735	263226	265544	269436	271761	273860	276158	278695	280746	282810	284764	286616	288898	291051	293726	295969	297986	302873	304792	306981	308900	310690	313108	314819	316583	318433	320285	322247	324646	326434	328110	329899	331613	333541	335964	337570	339014	340362	342126	343746	345332	347271	349083	350546	352397	353755	355240	356622	359620	361171	362750	366749	368132	369552	371000	372445	373082	374454	375994	377415	379147	380513	381713	382904	384396	385838	387101	387109	388263	389283	390956	392183	393467	394700	395964	397235	398526	399901	401182	402449	403510	404509	405607	406868	407976	409323	410317	411312	412360	413482	414666	415748	416840	417851	419037	420132	421096	422084	423044	423472	424625	425644	426623	427391	428272	429210	430194	431426
2	55513	73744	85036	93823	100387	106323	111832	117053	121556	124705	128811	132834	138034	141987	145885	152161	155700	159484	163027	166561	170095	173334	176402	179435	182470	185422	188543	191830	194150	197049	200617	203538	206419	209792	212729	215322	219697	222935	225390	227977	230540	233133	235643	238904	241188	244668	246760	248707	251358	253890	256282	259183	261840	267283	269626	271565	273823	275930	278250	280461	282979	284942	287263	293985	295087	297159	299261	303896	303906	305910	307998	310351	312252	314522	316571	318420	320433	322148	324072	325925	327897	329756	331763	333565	335407	337454	339256	341005	342840	344609	346746	348639	350401	352260	353960	355431	356924	358238	359703	361256	362574	363990	365281	366739	368484	369664	371193	372571	373882	375550	376782	378224	379577	380711	382023	383685	385253	387828	389464	391110	392592	393932	395285	396462	397876	399122	400401	401578	402864	403358	404448	405611	406758	407829	409072	410453	411580	412545	413197	414313	415405	416487	417617	418537	419512	420613	421655	422754	423683	424685	425828	426584	427280	428142	429108	430072	430767	431426
3	56430	74870	86071	93964	100673	106600	111955	116771	121604	128545	132791	137642	141775	145581	149160	152844	156455	160074	163522	167670	170817	174177	177915	181093	184209	187405	190162	193307	196242	199208	202133	204790	207421	209436	213907	219589	222623	225390	228066	230649	235936	238545	243683	246196	248743	251275	253676	256175	258528	260914	263301	265247	269255	271953	274066	276834	279112	281342	283541	285537	287592	290099	292201	294414	296577	298203	300224	302379	307025	309185	311482	313326	315183	317112	318874	321137	323401	325216	326918	328334	330076	331655	333501	335882	339088	339876	342015	343602	345325	347150	348841	350476	352030	353772	355592	357261	359026	360614	362395	363971	365307	366726	368215	369801	371586	373145	374605	376010	377426	378840	380246	381600	383331	384849	386145	387395	388665	388676	390129	390138	391319	392381	393619	394835	396226	397391	398508	399959	401103	402316	403203	404381	405605	406810	407831	409110	410036	411134	412223	413468	414426	415287	416422	417654	418668	419629	420680	421726	422707	423550	424484	425609	426624	427652	428604	429534	430522	431426
4	54990	72941	84031	92471	97826	103713	109496	114706	119547	124175	128687	132875	136862	140900	147097	150535	154201	158440	161947	165423	168546	171866	175203	178218	181406	184632	187622	190448	195388	198221	201094	204006	207206	210558	212977	215593	218372	221028	224514	227026	229423	231936	234466	236952	239332	244857	247280	249661	252116	254521	256983	259438	261802	263913	266058	268041	270214	273696	276257	278574	280558	283017	285371	288618	290811	292629	294758	296490	299262	301363	303334	305227	307290	309765	314384	316005	317776	319685	321425	323494	326259	328079	329670	331371	333227	334787	337408	339165	340874	342693	344483	346124	347401	349205	350063	351377	353038	354603	355720	357485	359193	360534	361928	363403	365031	366317	367985	369531	370940	374085	375501	376763	378468	379908	381213	382842	384643	385844	387230	388783	389488	390966	391818	393130	394381	395589	396907	398143	399392	400586	401756	402822	404051	405023	406448	407606	408631	409672	410827	411955	415312	416301	417638	418654	419744	420780	420790	421792	422680	423670	424567	425616	426507	427579	428647	429546	430517	431426
5	54821	73084	84643	92566	99949	106663	112087	117184	121726	126700	131032	135198	139235	142868	146696	152969	156653	160438	163643	167360	169573	172941	177025	180771	184102	187064	190160	193295	196314	199174	202143	205241	208056	210869	213766	216393	219186	223204	225829	228352	230747	233260	235919	239064	241407	243776	246224	248668	251030	253409	257080	259511	261906	264489	267020	269610	272749	275000	277395	279616	281370	283423	285526	287626	289723	291683	293652	295553	298436	300295	302368	304352	306453	308252	309833	311852	313345	315188	320431	322154	326352	328216	329899	331683	333495	334416	336035	337757	339673	342189	343891	345420	347065	349489	351245	352750	354413	356072	357678	359182	360744	362222	363958	365395	367034	368487	369847	371402	373296	376402	377590	378900	380118	381402	382834	384246	385783	387052	388393	389560	390789	392015	393424	394606	395779	397165	398301	399662	401036	402544	403617	405197	406255	407512	409208	410216	411043	412205	413158	414302	415194	416139	417155	418287	419313	420280	421339	421766	422785	423635	424990	425903	426971	427835	428774	429774	430194	431426
6	54699	72874	84494	92869	100675	106611	112075	116384	122529	127229	131646	136043	140101	144256	148315	151756	154947	158477	161795	165974	172022	175326	178606	181813	184373	187425	190420	193446	196296	199082	202092	207937	210838	213573	216196	219065	221617	224352	226810	229387	232643	235195	237564	240487	243237	245595	247984	250271	253194	255400	258039	260321	262353	267999	271276	273709	275945	278068	280834	282929	285464	287740	290065	292323	294288	296597	298702	298717	300876	302970	304874	307013	308830	310865	312990	314962	317094	319001	320690	322763	324657	326634	328605	330441	332224	334140	335749	337399	339015	340585	342312	344345	346087	347535	349025	350664	352226	353753	355281	358454	360154	361539	363074	364798	366251	367052	368406	369753	371182	372669	378914	380355	381904	383401	384771	386114	387540	389044	390304	391473	392719	393965	394840	396183	397554	398707	399850	401153	402173	403138	404377	405548	406782	407847	408486	409626	410887	411874	413245	414422	415415	416318	417346	418452	419364	420406	420838	421627	422659	423960	424997	425965	426879	427852	428886	429874	430607	431426
7	55077	73221	87092	95591	102916	109791	114504	119863	124427	128196	132743	136757	140655	144823	149051	152765	156092	159870	163794	167432	170919	174200	177460	179448	182668	185596	188591	191563	195115	198400	201916	204627	207873	210845	213654	216281	219439	221989	227339	230280	232838	235546	238605	241235	243692	246247	248639	250831	253311	255663	258164	260498	262926	265397	268978	271237	273854	276152	278469	280781	282965	285672	287747	289737	291959	294145	296150	298110	303388	305485	307369	309326	311208	313048	315330	317256	319494	321566	323217	324812	326345	328071	329936	333992	335770	337667	337678	339591	341280	342935	344704	346560	347856	349495	351355	353106	354575	356383	357750	359196	360824	362472	364034	365578	367177	368782	370179	371479	372861	374197	375525	376639	377907	379351	380751	382224	383314	384549	385710	386894	388114	389542	390969	392359	393663	397375	398578	399667	401008	402170	403272	404474	405636	406710	407765	409098	410262	411108	414042	415492	416494	417626	418666	419454	419461	420097	421050	422168	423307	424260	424954	425881	426932	427775	428736	429736	430505	431426
8	53310	71386	83008	91550	98443	104077	110444	115608	120299	124761	129306	133175	137075	140818	144638	148302	151979	155699	159098	162383	165932	168768	172003	175441	178882	181783	184283	187779	190585	193400	196429	199426	202067	204859	207537	210259	213006	215759	218665	223299	225992	228581	231196	239193	242855	245578	247971	249771	253230	255748	258495	260972	263333	265953	268109	270503	272538	274763	279294	281827	284032	286147	288308	292777	294769	296393	298513	300622	305616	307300	309285	311002	312856	314682	316484	318222	320105	321970	323886	325677	327579	330422	332211	333944	335644	337847	339726	341481	343104	347126	348782	350293	352186	354704	356454	358020	359834	359844	361365	362745	364165	365838	367329	368771	370057	371574	373014	374399	375856	377106	378688	378701	379970	381105	382546	383974	385166	386531	387929	389229	390439	391793	392650	394007	395342	396620	397792	398945	400170	401605	402883	404191	405377	406362	407763	408832	409987	411128	412164	413402	414486	415498	416483	417810	418910	420022	420910	421457	422507	423396	424297	425073	426104	427036	428085	429433	430416	431426
9	55652	73549	85757	94117	101536	108094	113708	118618	123172	127660	131810	135943	139958	143793	148136	151829	155566	159050	162512	165944	169097	173756	176896	180090	183448	187161	190096	193451	196526	199564	202281	205762	208551	211143	214096	217186	220016	222648	225238	227852	230274	232567	235215	238192	241311	246845	248881	251308	253923	256350	258777	261069	263305	265639	267954	270187	272108	274336	276570	278708	280917	283219	285368	287424	289631	291587	293467	295505	297497	299276	301242	303034	304921	307060	309351	313865	316297	318333	320045	322096	323821	325761	327610	329443	331781	333457	335363	337186	338786	342042	343778	345421	346962	349776	351395	353118	354904	356581	358178	359733	361263	362636	364050	367889	369062	370397	374128	375551	376885	378415	379745	381354	382571	384059	385139	386361	387832	387840	389565	391019	392220	393587	395206	396626	397765	399166	400368	401495	402481	403600	404937	406131	407149	408483	409372	410525	411765	412813	413775	414942	415779	416882	417770	418928	420024	420034	421074	421859	423009	423565	424564	425607	426564	427397	428689	429579	430607	431426
10	55077	73280	84373	97918	104070	110142	115535	121311	126168	131096	135601	139438	143222	147164	151096	154544	158176	161476	167819	171140	174422	177737	181122	184152	187260	190510	193750	196424	199736	202551	205440	209092	211358	214439	217267	220106	222987	225655	228334	231099	234338	236739	239658	242180	247036	249283	251484	253859	256480	258801	263045	265368	267647	269966	272132	274340	276463	278645	280784	284201	286361	288667	290962	293340	295533	297592	299510	301505	303602	306128	308357	311323	313047	314957	318309	320099	321992	323914	325606	327288	329218	330963	332745	334480	336235	338030	339630	341390	345532	347194	349133	350787	352118	354118	355771	357013	358386	359941	361336	363047	364645	366216	368761	370043	371396	372777	373826	375141	376473	377866	379225	380398	381877	383079	384446	385642	386987	388407	389726	390964	392156	393818	394895	396025	397250	398519	400196	401587	403010	404185	405558	406693	407833	409112	410139	410994	411884	412728	412735	413945	414830	415903	416848	417790	419287	420478	421756	422808	424071	424853	425755	426831	427389	428312	428709	429821	430622	431426
