Sample	Clusters
S7737	AA_T
S8938	IE_T
S547	IE_NT
S8325	TB_NT
S7686	DR_NT
S6928	DR_NT
S5603	IE_NT
S3445	IE_NT
S8892	TB_T
S2120	IE_NT
S5919	DR_NT
S548	IE_NT
S2294	IE_NT
S3446	IE_NT
S549	IE_NT
S3447	IE_NT
S5604	IE_NT
S2803	IE_NT
S3448	IE_NT
S2804	IE_NT
S7950	AA_T
S550	IE_NT
S5006	IE_NT
S3449	IE_NT
S3450	IE_NT
S15	DR_T
S5920	DR_NT
S3451	IE_NT
S551	IE_NT
S7962	AA_T
S8939	IE_T
S2805	IE_NT
S8708	TB_T
S8940	IE_T
S3452	IE_NT
S5921	DR_NT
S342	DR_T
S3453	IE_NT
S8941	IE_T
S2806	IE_NT
S2156	IE_NT
S3454	IE_NT
S5922	DR_NT
S8024	AA_T
S2398	IE_NT
S5007	IE_NT
S7901	AA_T
S5606	IE_NT
S6929	DR_NT
S8051	AA_T
S1925	IE_NT
S2227	IE_NT
S552	IE_NT
S3455	IE_NT
S3456	IE_NT
S3457	IE_NT
S3458	IE_NT
S5607	IE_NT
S327	DR_T
S5923	DR_NT
S8942	IE_T
S3459	IE_NT
S3460	IE_NT
S5464	IE_NT
S8533	TB_T
S8943	IE_T
S2580	IE_NT
S5924	DR_NT
S3461	IE_NT
S2015	IE_NT
S3462	IE_NT
S3463	IE_NT
S8435	TB_NT
S8944	IE_T
S553	IE_NT
S554	IE_NT
S6930	DR_NT
S555	IE_NT
S5925	DR_NT
S5926	DR_NT
S233	DR_T
S2807	IE_NT
S7343	DR_NT
S2808	IE_NT
S3464	IE_NT
S5927	DR_NT
S8634	TB_T
S6931	DR_NT
S3465	IE_NT
S5928	DR_NT
S5351	IE_NT
S2635	IE_NT
S5437	IE_NT
S8402	TB_NT
S556	IE_NT
S2449	IE_NT
S5608	IE_NT
S5929	DR_NT
S3466	IE_NT
S5008	IE_NT
S7687	DR_NT
S2513	IE_NT
S7931	AA_T
S2809	IE_NT
S5930	DR_NT
S557	IE_NT
S558	IE_NT
S5609	IE_NT
S7948	AA_T
S5931	DR_NT
S559	IE_NT
S5932	DR_NT
S5933	DR_NT
S7569	DR_NT
S560	IE_NT
S8945	IE_T
S7763	AA_T
S363	DR_T
S6932	DR_NT
S436	DR_T
S7570	DR_NT
S5338	IE_NT
S2763	IE_NT
S5934	DR_NT
S8946	IE_T
S4008	IE_NT
S561	IE_NT
S562	IE_NT
S5935	DR_NT
S2367	IE_NT
S7930	AA_T
S2810	IE_NT
S7571	DR_NT
S435	DR_T
S5936	DR_NT
S9299	IE_T
S3468	IE_NT
S2565	IE_NT
S5610	IE_NT
S6933	DR_NT
S563	IE_NT
S9300	IE_T
S8947	IE_T
S7769	AA_T
S8493	TB_T
S2683	IE_NT
S8456	TB_NT
S2325	IE_NT
S5611	IE_NT
S2614	IE_NT
S2811	IE_NT
