IID,PC1,PC2,Code,Population_Order,Linguistic_Group,Physiography_short,Physiography,Tribe,Tribe_Shape,Colour_Primary_Residence,Colour_Physiography,Colour_Linguistic_Group,Colour_Admixture_Cluster,Colour_SMC,lat,new_col,Linguistic_Tribe_Status
1,0.0147,0.0196,AA_EPL_1_04,74,AA,EPL,Eastern Plateau,Yes,Square,#63B8FF,#FBA600,#99C5EC,#4682B4,#1e90ff,24.18441,AA_Yes,AA_T
2,-8e-04,0.0119,IE_NCH_1_02,54,IE,NCH,North Central Highlands,Yes,Square,#7EB1C2,#EDF181,#FAC4C4,#000080,#1e90ff,23.89331,IE_Yes,IE_T
3,-0.0041,0.0026,IE_NDN_2_02,39,IE,NDN,North Deccan,No,Circle,#7EB1C2,#F8C1A6,#FAC4C4,#000080,#1e90ff,18.58916,IE_No,IE_NT
4,-0.0043,0.0054,DR_ECP_2_06,49,DR,ECP,Eastern Coastal Plains,No,Circle,#551A8B,#43582F,#8A8AF4,#000080,#000000,16.78666,DR_No,DR_NT
5,-0.0019,0.0086,DR_ECP_2_07,51,DR,ECP,Eastern Coastal Plains,No,Circle,#551A8B,#43582F,#8A8AF4,#000080,#808000,12.97781,DR_No,DR_NT
6,-0.0095,-0.0142,IE_NRP_2_11,9,IE,NRP,Northern Riverine Plains,No,Circle,#FFBBFF,#289D3D,#FAC4C4,#CD3333,#1e90ff,30.5795,IE_No,IE_NT
7,-0.0032,-0.002,IE_WPL_2_01,28,IE,WPL,Western Plains,No,Circle,#7EB1C2,#735323,#FAC4C4,#CD3333,#808000,28.04718,IE_No,IE_NT
8,-0.004,0.0047,DR_WCP_2_03,41,DR,WCP,Western Coastal Plains,No,Circle,#551A8B,#9AF708,#8A8AF4,#000080,#1e90ff,11.77026,DR_No,DR_NT
9,-0.0041,-0.0091,IE_WHR_2_02,17,IE,WHR,Western Himalayas,No,Circle,#FFBBFF,#C0F1FF,#FAC4C4,#CD3333,#808000,30.5149,IE_No,IE_NT
10,-0.0019,0.0053,IE_ECP_2_01,34,IE,ECP,Eastern Coastal Plains,No,Circle,#63B8FF,#43582F,#FAC4C4,#000080,#1e90ff,20.46883,IE_No,IE_NT
11,-0.0067,-0.0053,IE_NRP_2_12,19,IE,NRP,Northern Riverine Plains,No,Circle,#FFBBFF,#289D3D,#FAC4C4,#CD3333,#1e90ff,25.591,IE_No,IE_NT
