pc1,pc2,consortium,region_unique,Population_Order,Linguistic_Group,Tribe,Admixture_Cluster,Population_Order2,Combined_Label
1,-0.00305483870967742,0.0122741935483871,GenomeIndia,SAS,58,DR_NT,GI_No,cluster_2,58,GI_No - DR_NT
2,0.0169137931034483,0.0014,GAsP,SEA,AET,SEA,GAsP,SEA,NA,GAsP - SEA
3,-0.00574938271604938,0.00067716049382716,GenomeIndia,SAS,46,IE_NT,GI_No,cluster_2,46,GI_No - IE_NT
4,-0.00708193548387097,-0.00956774193548387,GenomeIndia,SAS,8,IE_NT,GI_No,cluster_1,8,GI_No - IE_NT
5,0.0153,-0.0171,GAsP,NEA,ALT,NEA,GAsP,NEA,NA,GAsP - NEA
6,0.0083,-0.02065,GAsP,NEA,ALU,NEA,GAsP,NEA,NA,GAsP - NEA
7,0.02445,-0.00515,GAsP,SEA,AMI,SEA,GAsP,SEA,NA,GAsP - SEA
8,-0.00361666666666667,0.00285769230769231,GenomeIndia,SAS,35,IE_NT,GI_No,cluster_2,35,GI_No - IE_NT
9,0.020647619047619,-0.0018,GAsP,SEA,ATI,SEA,GAsP,SEA,NA,GAsP - SEA
10,0.0244,-0.0052,GAsP,SEA,ATY,SEA,GAsP,SEA,NA,GAsP - SEA
11,-0.0067625,-0.00832857142857143,GenomeIndia,SAS,10,IE_NT,GI_No,cluster_1,10,GI_No - IE_NT
12,0.00557321428571429,0.0180125,GenomeIndia,SAS,70,IE_T,GI_Yes,cluster_4,70,GI_Yes - IE_T
13,-0.00436,0.003985,GenomeIndia,SAS,42,IE_NT,GI_No,cluster_2,42,GI_No - IE_NT
14,-0.007875,-0.0177166666666667,HGDP,CENTRAL_SOUTH_ASIA,Balochi,CSA,HGDP,CENTRAL_SOUTH_ASIA,NA,HGDP - CSA
15,0.00342702702702703,-0.0115783783783784,GenomeIndia,SAS,18,TB_T,GI_Yes,cluster_1,18,GI_Yes - TB_T
16,-0.00511,-0.00159818181818182,GenomeIndia,SAS,28,IE_NT,GI_No,cluster_1,28,GI_No - IE_NT
17,0.0180272727272727,0.00208181818181818,GAsP,SEA,BEN,SEA,GAsP,SEA,NA,GAsP - SEA
