V1,V2,V3,V4,V5,num,pop_number,Code,Population_Order,Linguistic_Group,Primary_Residence,Physiography_short,Physiography,Tribe,Colour_Primary_Residence,Colour_Physiography,Colour_Linguistic_Group,Colour_LG_Tribe
1e-05,0.005991,0.005343,0.399586,0.58907,1,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
1e-05,0.01485,1e-05,0.98512,1e-05,2,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.008635,0.009203,1e-05,0.982142,1e-05,3,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.022035,0.005207,1e-05,0.972738,1e-05,4,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.002463,0.005258,1e-05,0.992258,1e-05,5,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.010048,0.007476,1e-05,0.969568,0.012898,6,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.022202,0.014069,1e-05,0.96371,1e-05,7,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.013148,0.01035,0.000167,0.930564,0.045772,8,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.012795,0.009387,1e-05,0.977797,1e-05,9,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.02263,0.001658,1e-05,0.930188,0.045513,10,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.002803,0.007097,1e-05,0.990079,1e-05,11,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.013338,0.006581,0.000442,0.979629,1e-05,12,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.000535,0.004971,1e-05,0.994473,1e-05,13,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.007481,0.011786,0.006044,0.953437,0.021252,14,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.024485,0.007996,0.000671,0.959154,0.007695,15,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.020047,0.00575,0.007493,0.881793,0.084917,16,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.011897,0.000666,0.012994,0.596476,0.377968,17,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.028401,0.012972,1e-05,0.86169,0.096926,18,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.014308,0.006505,0.008288,0.970888,1e-05,19,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.018723,0.006839,1e-05,0.974418,1e-05,20,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.002593,0.014494,0.009539,0.796569,0.176805,21,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.020517,0.016816,0.000125,0.938319,0.024222,22,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.016547,0.002919,1e-05,0.980515,1e-05,23,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.027646,0.001444,0.005446,0.927363,0.0381,24,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.018036,0.014928,0.000222,0.940865,0.025948,25,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.017565,0.002845,1e-05,0.976246,0.003334,26,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.007859,0.008274,1e-05,0.919097,0.06476,27,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.013371,0.011761,1e-05,0.974848,1e-05,28,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.029834,1e-05,1e-05,0.957218,0.012928,29,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.014631,0.014897,0.005449,0.90061,0.064412,30,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.018328,0.005095,1e-05,0.957969,0.018598,31,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.010135,0.006949,0.003725,0.958344,0.020848,32,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.023264,0.007652,0.007719,0.961356,1e-05,33,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.014501,0.006718,0.004924,0.943706,0.030151,34,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.01393,0.017197,0.00901,0.959853,1e-05,35,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.005763,1e-05,1e-05,0.994207,1e-05,36,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.018123,0.000644,1e-05,0.95075,0.030473,37,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.00461,1e-05,0.002805,0.970224,0.022352,38,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.012504,0.020048,1e-05,0.92847,0.038968,39,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
0.008759,0.001951,1e-05,0.989271,1e-05,40,1,IE_NRP_2_05,1,IE,North,NRP,Northern Riverine Plains,No,#FFBBFF,#289D3D,#FAC4C4,#FAC4C4
