	B2	C1	C2	D1	E1	E2	G1	G2	H1	H2	H3	J1	J2	L1	N1	NO	O1	O2	Q1	Q2	R1	R2	T1
AA_EPL_1_01	0	0.125	0	0	0	0	0	0	0.34375	0	0	0	0.03125	0	0	0	0.25	0	0	0.03125	0.1875	0.03125	0
AA_EPL_1_02	0	0	0	0	0	0	0	0	0.1111111111	0	0	0	0	0	0	0	0.8888888889	0	0	0	0	0	0
AA_EPL_1_03	0	0	0	0	0	0	0	0	0.3142857143	0	0	0	0	0	0	0	0.6857142857	0	0	0	0	0	0
AA_EPL_1_04	0	0	0	0	0	0	0	0	0.3538461538	0	0	0	0	0	0	0	0.6307692308	0	0	0	0.01538461538	0	0
AA_NDN_1_01	0	0.03448275862	0	0	0	0	0	0	0.06896551724	0	0	0	0	0	0	0	0.8620689655	0	0	0	0.03448275862	0	0
AA_NER_1_01	0	0	0.07843137255	0.01960784314	0	0	0	0	0	0	0.03921568627	0	0	0	0	0	0.3725490196	0.4117647059	0	0	0.07843137255	0	0
AA_SCH_1_01	0	0.02857142857	0	0	0	0	0	0	0.08571428571	0	0	0	0.05714285714	0	0	0	0.2857142857	0	0.05714285714	0	0.2285714286	0.2571428571	0
CAO	0.21875	0	0	0	0.46875	0.09375	0	0	0.03125	0	0	0.03125	0.03125	0.0625	0	0	0	0	0	0	0.03125	0.03125	0
DR_ECP_2_01	0	0	0	0	0	0	0.03571428571	0	0.1428571429	0	0.1071428571	0	0.2142857143	0	0	0	0.03571428571	0	0	0	0.2857142857	0.1785714286	0
DR_ECP_2_02	0	0.06896551724	0.01149425287	0	0	0	0	0.02298850575	0.05747126437	0	0	0	0.2298850575	0.06896551724	0	0	0	0	0.04597701149	0	0.4137931034	0.08045977011	0
DR_ECP_2_03	0	0.02777777778	0	0	0	0	0.009259259259	0.01851851852	0.1759259259	0	0.09259259259	0	0.06481481481	0.1944444444	0	0	0.009259259259	0	0.009259259259	0	0.25	0.1481481481	0
DR_ECP_2_04	0	0.02127659574	0	0	0	0	0	0	0.2553191489	0	0	0	0.1489361702	0.08510638298	0	0	0.04255319149	0	0.04255319149	0	0.2127659574	0.1914893617	0
DR_ECP_2_05	0	0.01960784314	0	0	0	0	0	0	0.3725490196	0	0.09803921569	0	0.07843137255	0.07843137255	0	0	0	0.01960784314	0	0.01960784314	0.2156862745	0.09803921569	0
DR_ECP_2_06	0	0.02	0	0	0	0	0	0	0.23	0	0.07	0	0.13	0.22	0	0	0	0.01	0	0.03	0.11	0.18	0
DR_ECP_2_07	0	0.07692307692	0	0	0	0	0	0	0.2307692308	0	0.1794871795	0	0.2051282051	0.1794871795	0	0	0	0	0.02564102564	0	0.07692307692	0.02564102564	0
DR_ECP_2_08	0	0.03191489362	0	0.01063829787	0	0	0	0	0.1382978723	0	0	0	0.1063829787	0.1063829787	0.03191489362	0	0	0	0.03191489362	0	0.3404255319	0.2021276596	0
DR_EGH_1_01	0	0.08333333333	0	0	0	0	0	0	0.08333333333	0	0	0	0	0.08333333333	0	0	0	0	0	0	0.25	0.5	0
DR_EGH_2_01	0	0.05797101449	0	0	0	0	0.01449275362	0	0.1884057971	0	0.2028985507	0	0.115942029	0.2028985507	0	0.02898550725	0	0	0	0.01449275362	0.115942029	0.05797101449	0
DR_EPL_1_01	0	0	0	0	0	0	0	0	0.2272727273	0	0.2727272727	0	0	0	0	0	0.5	0	0	0	0	0	0
DR_EPL_1_02	0	0	0	0	0	0	0	0	0.125	0	0.25	0	0	0	0	0.125	0.4166666667	0	0	0	0.08333333333	0	0
DR_EPL_1_03	0	0	0	0	0	0	0	0	0.5555555556	0	0	0	0.3333333333	0	0	0	0	0	0	0	0.1111111111	0	0
DR_NGH_1_01	0	0	0	0	0.1111111111	0	0	0	0.1111111111	0	0.6666666667	0	0	0.1111111111	0	0	0	0	0	0	0	0	0
DR_NGH_1_02	0	0.2333333333	0	0	0	0	0	0	0	0	0.6666666667	0	0	0.03333333333	0	0	0	0	0	0	0.03333333333	0.03333333333	0
DR_SDN_2_01	0	0	0	0	0	0	0	0	0.3333333333	0	0.05555555556	0	0.1666666667	0.05555555556	0	0	0	0.05555555556	0	0	0.05555555556	0.2777777778	0
DR_SDN_2_02	0	0.04255319149	0.01063829787	0	0	0	0.02127659574	0.01063829787	0.2021276596	0	0.05319148936	0	0.1382978723	0.1914893617	0	0	0.01063829787	0.01063829787	0	0.01063829787	0.09574468085	0.2021276596	0
DR_SDN_2_03	0	0.08823529412	0.02941176471	0	0	0	0.02941176471	0	0.2941176471	0	0.05882352941	0	0.05882352941	0.05882352941	0	0	0	0	0	0.05882352941	0.1176470588	0.2058823529	0
DR_WCP_2_01	0	0.04347826087	0	0	0	0	0.01449275362	0	0.1594202899	0	0	0	0.1304347826	0.2173913043	0	0	0	0.01449275362	0	0	0.3188405797	0.1014492754	0
DR_WCP_2_02	0	0.01428571429	0	0	0	0	0	0	0.1571428571	0	0.01428571429	0.01428571429	0.04285714286	0.2142857143	0	0	0	0	0.02857142857	0	0.3857142857	0.1285714286	0
DR_WCP_2_03	0	0	0	0	0	0	0	0.02564102564	0.1025641026	0	0.02564102564	0	0.1538461538	0.1794871795	0	0	0	0	0.05128205128	0	0.4102564103	0.05128205128	0
DR_WGH_1_01	0	0	0	0	0	0	0	0	0.6	0	0	0	0.35	0	0	0	0	0	0	0	0	0.05	0
DR_WGH_1_02	0	0	0	0	0	0	0	0	0.1568627451	0	0	0	0.05882352941	0.5294117647	0	0	0	0	0	0	0	0.2549019608	0
IE_BPV_2_01	0	0.01785714286	0	0	0	0	0	0	0.1964285714	0	0	0	0.07142857143	0.03571428571	0	0	0.03571428571	0.3214285714	0	0.07142857143	0.125	0.125	0
IE_CHR_1_01	0	0.1538461538	0	0.07692307692	0	0	0	0	0.07692307692	0	0	0	0	0	0	0	0	0.3076923077	0	0	0.2307692308	0.1538461538	0
IE_ECP_2_01	0	0.05660377358	0	0	0	0	0	0	0.2075471698	0	0.01886792453	0	0.05660377358	0.01886792453	0	0	0.1132075472	0	0	0.1132075472	0.2830188679	0.1320754717	0
IE_ECP_2_02	0	0	0	0	0	0	0	0.01123595506	0.2134831461	0	0	0	0.06741573034	0.06741573034	0	0	0	0.01123595506	0.03370786517	0	0.4831460674	0.1011235955	0.01123595506
IE_EPL_1_01	0	0.03846153846	0	0	0	0	0	0	0.3846153846	0	0	0	0	0	0	0	0.5384615385	0	0	0	0	0.03846153846	0
IE_EPL_2_01	0	0	0	0	0	0	0	0	0.52	0	0	0	0.04	0	0	0	0.01333333333	0.02666666667	0.01333333333	0	0.3466666667	0.04	0
IE_ERP_2_01	0	0.05084745763	0.01694915254	0	0	0	0	0	0.2711864407	0	0	0	0.1694915254	0.01694915254	0	0	0.1016949153	0	0.01694915254	0.03389830508	0.3050847458	0.01694915254	0
IE_ERP_2_02	0	0.01724137931	0	0	0	0	0	0	0.1206896552	0	0	0	0.0775862069	0.04310344828	0	0	0	0	0	0.008620689655	0.5	0.2327586207	0
IE_ERP_2_03	0	0.0701754386	0.01754385965	0	0	0	0	0	0.3859649123	0	0.01754385965	0	0.1228070175	0.01754385965	0	0	0.05263157895	0.01754385965	0.01754385965	0.05263157895	0.1403508772	0.08771929825	0
IE_ERP_2_04	0	0.01351351351	0	0	0	0	0	0	0.01351351351	0	0	0	0.1486486486	0	0	0	0.01351351351	0	0	0	0.5945945946	0.2162162162	0
IE_NCH_1_01	0	0.06896551724	0	0	0	0	0	0	0.4137931034	0	0	0	0.1379310345	0.1379310345	0	0	0	0	0.06896551724	0	0.06896551724	0.06896551724	0.03448275862
IE_NCH_1_02	0	0.07317073171	0	0	0	0	0	0	0.1707317073	0	0	0	0.4390243902	0.07317073171	0	0	0.0487804878	0	0.0243902439	0	0.09756097561	0.07317073171	0
IE_NCH_1_03	0	0	0	0	0	0	0	0	0.0303030303	0	0	0	0.0303030303	0	0	0	0.3636363636	0	0	0	0.3939393939	0.1818181818	0
IE_NCH_2_01	0	0	0	0	0.0243902439	0	0	0.06097560976	0.1829268293	0	0.0243902439	0	0.1585365854	0.06097560976	0	0	0	0	0.01219512195	0	0.3780487805	0.09756097561	0
IE_NDN_2_01	0	0.02564102564	0	0	0	0	0.01282051282	0.01282051282	0.141025641	0	0	0.01282051282	0.1025641026	0.08974358974	0	0	0	0	0.03846153846	0	0.3846153846	0.1794871795	0
IE_NDN_2_02	0	0.02469135802	0	0	0	0	0	0.02469135802	0.3086419753	0	0.02469135802	0.01234567901	0.1234567901	0.1234567901	0	0	0	0	0.01234567901	0	0.1728395062	0.1728395062	0
IE_NRP_2_01	0	0	0	0	0	0	0	0	0.619047619	0	0	0	0.09523809524	0.0119047619	0	0	0	0	0	0	0.2380952381	0.03571428571	0
IE_NRP_2_02	0	0.04166666667	0	0	0	0	0	0.01388888889	0.04166666667	0	0	0	0.06944444444	0.04166666667	0	0	0	0	0	0	0.3888888889	0.4027777778	0
IE_NRP_2_03	0	0.05714285714	0	0	0	0	0.04285714286	0	0.1571428571	0.01428571429	0.01428571429	0	0.1714285714	0	0	0	0	0	0.04285714286	0	0.3714285714	0.1285714286	0
IE_NRP_2_04	0	0.01388888889	0	0	0.01388888889	0	0.06944444444	0.02777777778	0.25	0	0	0	0.05555555556	0.05555555556	0	0	0	0	0	0	0.2916666667	0.2222222222	0
IE_NRP_2_05	0	0.02752293578	0	0	0	0	0.009174311927	0.009174311927	0.08256880734	0	0.009174311927	0	0.07339449541	0.1559633028	0	0	0	0	0.03669724771	0	0.5229357798	0.07339449541	0
IE_NRP_2_06	0	0	0	0	0	0	0	0	0.08571428571	0	0	0	0.1714285714	0.02857142857	0	0	0	0	0.04285714286	0	0.5	0.1714285714	0
IE_NRP_2_07	0	0.02409638554	0	0	0	0	0	0	0.2409638554	0	0	0.01204819277	0.2289156627	0.02409638554	0	0	0	0.01204819277	0	0	0.2771084337	0.1807228916	0
IE_NRP_2_08	0	0	0	0	0	0	0	0	0.0243902439	0	0	0	0.0243902439	0.1219512195	0	0	0	0	0.03658536585	0	0.3414634146	0.4512195122	0
IE_NRP_2_09	0	0	0	0	0.01818181818	0	0	0	0.5272727273	0	0.01818181818	0	0.09090909091	0	0	0	0	0	0	0.05454545455	0.1090909091	0.1818181818	0
IE_NRP_2_10	0	0.02127659574	0	0	0	0	0	0	0.09574468085	0	0	0	0.1063829787	0.04255319149	0	0	0	0	0.02127659574	0.02127659574	0.5106382979	0.1808510638	0
IE_NRP_2_11	0	0	0	0	0	0	0.025	0	0.05	0	0	0	0.05	0.075	0	0	0	0	0.0125	0	0.6125	0.125	0.05
IE_NRP_2_12	0	0.0119047619	0	0	0	0	0.03571428571	0.0119047619	0.1428571429	0	0	0	0.09523809524	0.0119047619	0	0	0	0	0.02380952381	0	0.5476190476	0.1071428571	0.0119047619
IE_NRP_2_13	0	0.02857142857	0.01904761905	0	0	0	0	0.009523809524	0.2	0	0	0	0.08571428571	0.08571428571	0	0	0	0.02857142857	0.02857142857	0	0.3714285714	0.1428571429	0
IE_SCH_1_01	0	0.1320754717	0	0	0	0	0.05660377358	0.05660377358	0.2075471698	0	0	0.01886792453	0.01886792453	0.01886792453	0	0	0.01886792453	0	0	0	0.320754717	0.1509433962	0
IE_WCP_2_01	0	0	0	0	0.0303030303	0	0	0	0.1212121212	0	0.0303030303	0	0.09090909091	0.0303030303	0	0	0	0	0	0.09090909091	0.5454545455	0.06060606061	0
IE_WCP_2_02	0	0.06329113924	0	0	0.01265822785	0	0	0	0.3037974684	0	0	0.01265822785	0.1012658228	0.1139240506	0	0	0	0	0	0	0.3670886076	0.0253164557	0
IE_WCP_2_03	0	0.02777777778	0	0	0	0	0	0.01388888889	0.01388888889	0	0	0	0.06944444444	0.2222222222	0	0	0	0	0	0	0.4583333333	0.1944444444	0
IE_WCP_2_04	0	0.16	0	0	0	0	0	0	0.1733333333	0	0	0	0.1733333333	0.1066666667	0	0	0	0	0.01333333333	0	0.2	0.1733333333	0
IE_WCP_2_05	0	0	0	0	0	0	0	0.02941176471	0.3235294118	0	0	0	0.1764705882	0.1764705882	0	0	0	0	0.02941176471	0	0.08823529412	0.1764705882	0
IE_WHR_1_01	0	0.07692307692	0	0	0	0	0	0	0.2307692308	0	0	0	0.3076923077	0.1153846154	0.03846153846	0	0	0.07692307692	0.03846153846	0	0.07692307692	0.03846153846	0
IE_WHR_1_02	0	0	0	0	0	0	0	0	0.1538461538	0	0	0	0.1153846154	0.1538461538	0	0	0	0	0	0	0.5	0.07692307692	0
IE_WHR_2_01	0	0.02409638554	0	0	0	0	0	0	0.1927710843	0	0.01204819277	0	0.156626506	0.03614457831	0	0	0	0	0.02409638554	0.07228915663	0.3373493976	0.1445783133	0
IE_WHR_2_02	0	0.05063291139	0	0.01265822785	0	0	0	0	0.3164556962	0	0	0.0253164557	0.07594936709	0.06329113924	0	0	0	0.01265822785	0	0	0.3417721519	0.1012658228	0
IE_WHR_2_03	0	0	0	0	0	0	0	0	0.3333333333	0	0	0	0	0	0	0	0	0	0	0	0.6666666667	0	0
IE_WHR_2_04	0	0.015625	0	0	0	0	0	0.046875	0.1875	0	0	0	0.203125	0.03125	0	0	0.015625	0	0	0.015625	0.40625	0.078125	0
IE_WHR_2_05	0	0	0	0	0	0	0	0.01298701299	0.09090909091	0	0	0.02597402597	0.1038961039	0.07792207792	0	0	0	0.01298701299	0.05194805195	0.02597402597	0.4025974026	0.1948051948	0
IE_WPL_1_01	0	0	0	0	0	0	0.01538461538	0	0.04615384615	0	0	0	0.1230769231	0.1384615385	0	0	0	0	0.01538461538	0	0.4615384615	0.2	0
IE_WPL_2_01	0	0.04651162791	0	0	0	0	0.1627906977	0	0.1162790698	0	0	0.02325581395	0.02325581395	0.06976744186	0	0	0	0	0.3255813953	0	0.1860465116	0.04651162791	0
IE_WPL_2_02	0	0	0	0	0	0	0	0	0	0	0	0	0.03333333333	0.03333333333	0	0	0	0	0	0	0.2666666667	0.6666666667	0
IE_WPL_2_03	0	0.03333333333	0	0	0.01666666667	0	0	0.03333333333	0.2666666667	0	0	0	0.1	0.06666666667	0	0	0	0	0	0.01666666667	0.4	0.05	0.01666666667
TB_BPV_1_01	0	0	0	0.02040816327	0	0	0	0	0.08163265306	0	0	0	0.04081632653	0	0	0	0.1020408163	0.5714285714	0	0	0.1224489796	0.02040816327	0.04081632653
TB_BPV_1_02	0	0.01388888889	0.05555555556	0.04166666667	0	0	0	0	0.04166666667	0	0	0	0.04166666667	0.01388888889	0.04166666667	0	0.08333333333	0.4722222222	0.01388888889	0	0.09722222222	0.08333333333	0
TB_NER_1_01	0	0	0.01298701299	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5714285714	0.4155844156	0	0	0	0	0
TB_NER_2_01	0	0	0.06172839506	0	0	0	0	0	0.06172839506	0	0	0	0.02469135802	0	0	0.01234567901	0.04938271605	0.6049382716	0.01234567901	0	0.1481481481	0.02469135802	0
TB_WHR_1_01	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.2	0	0	0	0	0	0	0.2	0.2	0
TB_WHR_1_02	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.35	0	0.1	0.1	0.05	0
