Code	Haplogroup2	Proportion
AA_EPL_1_01	J	0.032967032967033
AA_EPL_1_01	M	0.615384615384615
AA_EPL_1_01	R	0.186813186813187
AA_EPL_1_01	U	0.131868131868132
AA_EPL_1_01	W	0.032967032967033
AA_EPL_1_02	HV	0.0166666666666667
AA_EPL_1_02	M	0.7
AA_EPL_1_02	R	0.233333333333333
AA_EPL_1_02	U	0.05
AA_EPL_1_03	M	0.804347826086957
AA_EPL_1_03	R	0.184782608695652
AA_EPL_1_03	U	0.0108695652173913
AA_EPL_1_04	K	0.00595238095238095
AA_EPL_1_04	M	0.732142857142857
AA_EPL_1_04	R	0.25
AA_EPL_1_04	U	0.0119047619047619
AA_NDN_1_01	M	0.72
AA_NDN_1_01	N	0.04
AA_NDN_1_01	R	0.16
AA_NDN_1_01	U	0.08
AA_NER_1_01	A	0.0266666666666667
AA_NER_1_01	B	0.0133333333333333
AA_NER_1_01	D	0.213333333333333
AA_NER_1_01	H	0.0133333333333333
AA_NER_1_01	M	0.666666666666667
AA_NER_1_01	R	0.0133333333333333
AA_NER_1_01	U	0.0533333333333333
AA_SCH_1_01	M	0.676923076923077
AA_SCH_1_01	R	0.246153846153846
AA_SCH_1_01	U	0.0769230769230769
DR_ECP_2_01	HV	0.0357142857142857
DR_ECP_2_01	K	0.0357142857142857
DR_ECP_2_01	M	0.660714285714286
DR_ECP_2_01	R	0.142857142857143
DR_ECP_2_01	T	0.0178571428571429
DR_ECP_2_01	U	0.0892857142857143
DR_ECP_2_01	W	0.0178571428571429
DR_ECP_2_02	A	0.0121212121212121
DR_ECP_2_02	C	0.0303030303030303
DR_ECP_2_02	F	0.0242424242424242
DR_ECP_2_02	H	0.0606060606060606
DR_ECP_2_02	HV	0.0303030303030303
DR_ECP_2_02	J	0.00606060606060606
DR_ECP_2_02	K	0.00606060606060606
DR_ECP_2_02	M	0.363636363636364
DR_ECP_2_02	R	0.181818181818182
DR_ECP_2_02	T	0.0121212121212121
DR_ECP_2_02	U	0.272727272727273
DR_ECP_2_03	H	0.00675675675675676
DR_ECP_2_03	HV	0.0540540540540541
DR_ECP_2_03	M	0.614864864864865
DR_ECP_2_03	R	0.22972972972973
DR_ECP_2_03	U	0.0945945945945946
DR_ECP_2_04	H	0.008
DR_ECP_2_04	M	0.632
DR_ECP_2_04	N	0.088
DR_ECP_2_04	R	0.16
DR_ECP_2_04	U	0.104
DR_ECP_2_04	W	0.008
DR_ECP_2_05	H	0.0116279069767442
DR_ECP_2_05	HV	0.0232558139534884
DR_ECP_2_05	K	0.0116279069767442
DR_ECP_2_05	M	0.662790697674419
DR_ECP_2_05	R	0.197674418604651
DR_ECP_2_05	U	0.0930232558139535
DR_ECP_2_06	H	0.0484848484848485
DR_ECP_2_06	HV	0.0242424242424242
DR_ECP_2_06	I	0.0121212121212121
DR_ECP_2_06	J	0.0606060606060606
DR_ECP_2_06	M	0.503030303030303
DR_ECP_2_06	R	0.163636363636364
DR_ECP_2_06	T	0.0484848484848485
DR_ECP_2_06	U	0.109090909090909
DR_ECP_2_06	W	0.0303030303030303
DR_ECP_2_07	H	0.0158730158730159
DR_ECP_2_07	M	0.571428571428571
DR_ECP_2_07	R	0.206349206349206
DR_ECP_2_07	U	0.206349206349206
DR_ECP_2_08	A	0.0137931034482759
DR_ECP_2_08	H	0.0758620689655172
DR_ECP_2_08	HV	0.00689655172413793
DR_ECP_2_08	I	0.0137931034482759
DR_ECP_2_08	K	0.00689655172413793
DR_ECP_2_08	M	0.43448275862069
DR_ECP_2_08	R	0.137931034482759
DR_ECP_2_08	T	0.0275862068965517
DR_ECP_2_08	U	0.275862068965517
DR_ECP_2_08	W	0.00689655172413793
DR_EGH_1_01	M	0.941176470588235
DR_EGH_1_01	N	0.0294117647058824
DR_EGH_1_01	R	0.0294117647058824
DR_EGH_2_01	J	0.00892857142857143
DR_EGH_2_01	M	0.803571428571429
DR_EGH_2_01	N	0.0178571428571429
DR_EGH_2_01	R	0.0982142857142857
DR_EGH_2_01	U	0.0714285714285714
DR_EPL_1_01	HV	0.0441176470588235
DR_EPL_1_01	M	0.808823529411765
DR_EPL_1_01	R	0.117647058823529
DR_EPL_1_01	U	0.0294117647058824
DR_EPL_1_02	HV	0.0120481927710843
DR_EPL_1_02	M	0.518072289156627
DR_EPL_1_02	R	0.397590361445783
DR_EPL_1_02	U	0.072289156626506
DR_EPL_1_03	M	0.555555555555556
DR_EPL_1_03	R	0.395061728395062
DR_EPL_1_03	U	0.0493827160493827
DR_NGH_1_01	M	0.906666666666667
DR_NGH_1_01	U	0.0933333333333333
DR_NGH_1_02	M	0.52
DR_NGH_1_02	R	0.213333333333333
DR_NGH_1_02	U	0.266666666666667
DR_SDN_2_01	M	0.84375
DR_SDN_2_01	N	0.03125
