Population	Population Order	Ethnolinguistic Group	mtDNA Diversity	mtDNA Diversity (Z-score)	Y diversity	Y Diversity (Z-score)
IE_NRP_2_05	1	IE_NonTribe	1.68053134637319	0.929474439068885	1.56744284291523	0.172673342911968
IE_NRP_2_08	2	IE_NonTribe	1.92290010175492	1.51055917398072	1.28476844759436	-0.552432316892265
IE_WPL_2_02	3	IE_NonTribe	1.74398095216748	1.08159634647055	0.849524788162133	-1.66890287833089
IE_WHR_1_02	4	IE_Tribe	1.85576341053554	1.34959739341364	1.36898777786496	-0.336396078538181
IE_WHR_2_04	5	IE_NonTribe	1.88326349682616	1.4155294906721	1.64946039238609	0.383061656494775
IE_WPL_1_01	6	IE_Tribe	1.67444300253509	0.914877492941722	1.48074644696614	-0.0497169705649693
IE_WHR_2_05	7	IE_NonTribe	1.81317170841956	1.24748279578521	1.7931614904986	0.751678274364207
IE_NRP_2_02	8	IE_NonTribe	1.77767853633863	1.16238708921468	1.37544382020118	-0.319835283095012
IE_NRP_2_11	9	IE_NonTribe	1.90528361713888	1.46832324189011	1.35080877158278	-0.383028177387681
IE_WCP_2_01	10	IE_NonTribe	1.63268809629824	0.81476913291942	1.51014885899043	0.0257049838943614
IE_NRP_2_10	11	IE_NonTribe	1.57767617490907	0.682876770361914	1.49555852659113	-0.0117215845401505
IE_WPL_2_03	12	IE_NonTribe	1.4775789160854	0.442891261432156	1.71103004002036	0.540997786228369
IE_NRP_2_06	13	IE_NonTribe	1.45577301109858	0.390611096446279	1.39838624503253	-0.260984243275991
IE_WHR_2_01	14	IE_NonTribe	1.85524079159535	1.34834440233464	1.79660747900633	0.760517793655425
IE_ERP_2_02	15	IE_NonTribe	1.58043132243993	0.689482300724485	1.38592986589788	-0.292936875564986
IE_WHR_2_03	16	IE_NonTribe	1.9423633598886	1.55722278858451	0.636514168271708	-2.21530965813714
IE_WHR_2_02	17	IE_NonTribe	2.06652308138426	1.85489861209735	1.68812833957562	0.482251211064484
TB_WHR_1_01	18	TB_Tribe	1.86647638867151	1.37528200796081	1.33217904021012	-0.430816459179576
IE_NRP_2_12	19	IE_NonTribe	1.29036289781727	-0.00596350194378566	1.48999455125642	-0.0259940834752872
IE_NRP_2_13	20	IE_NonTribe	1.46176942830508	0.404987646333539	1.81340343818924	0.803602152433465
DR_WCP_2_02	21	DR_NonTribe	1.53801506351476	0.587788332231456	1.67074740177299	0.437666287272273
IE_ECP_2_02	22	IE_NonTribe	1.22891364604504	-0.153289513996612	1.54203055774187	0.107486710826508
IE_NDN_2_01	23	IE_NonTribe	1.3891186747988	0.230805773031215	1.78877797197084	0.7404338385506
IE_NCH_2_01	24	IE_NonTribe	0.946068978758563	-0.831416190236431	1.77353390355975	0.701330331242198
IE_WCP_2_03	25	IE_NonTribe	1.26915415425799	-0.0568119585014253	1.41379867983453	-0.221448848874237
DR_ECP_2_02	26	DR_NonTribe	1.67300969545297	0.911441105835834	1.71852336812927	0.560219387874934
IE_ERP_2_04	27	IE_NonTribe	1.39954034003911	0.255791958127435	1.09808385732332	-1.03130856194485
IE_WPL_2_01	28	IE_NonTribe	1.63292555223122	0.815338439048225	1.87005311243786	0.948917752656529
DR_ECP_2_08	29	DR_NonTribe	1.50651356610468	0.512262758635826	1.81849219078239	0.816655627978881
DR_WCP_2_01	30	DR_NonTribe	1.03324621760913	-0.622406730052321	1.74580557568413	0.63020267407787
IE_WCP_2_04	31	IE_NonTribe	1.6194797561395	0.783101829814774	1.82271224570315	0.827480753134834
IE_NRP_2_07	32	IE_NonTribe	1.49638437807483	0.487977794462427	1.63126597188481	0.336390017673867
IE_WHR_1_01	33	IE_Tribe	1.43314760767771	0.336366164881634	1.91806541883303	1.0720771037816
IE_ECP_2_01	34	IE_NonTribe	1.13906174419256	-0.368711541010945	1.91912664144512	1.07479931185943
IE_NRP_2_03	35	IE_NonTribe	1.35081648745839	0.13897538696437	1.77966509696998	0.717057836515767
IE_ERP_2_01	36	IE_NonTribe	1.37069325824161	0.186630407774628	1.7920010003035	0.748701428839649
IE_ERP_2_03	37	IE_NonTribe	1.4486003331746	0.373414434098032	1.96508849433027	1.19269891724917
IE_WCP_2_05	38	IE_NonTribe	1.24424273087073	-0.116537676168548	1.70505595658316	0.525673293511099
IE_NDN_2_02	39	IE_NonTribe	1.39639464731986	0.248250086581314	1.86881846580722	0.945750683850304
IE_SCH_1_01	40	IE_Tribe	1.13941594803159	-0.367862329058761	1.86859281998785	0.945171865735025
DR_WCP_2_03	41	DR_NonTribe	1.14825186898892	-0.346678002807184	1.68789206709066	0.481645133828856
IE_NRP_2_04	42	IE_NonTribe	1.0520411648712	-0.577345406325756	1.76490332454181	0.67919149660813
DR_ECP_2_01	43	DR_NonTribe	1.14929323741934	-0.344181297745589	1.75097975938615	0.643475294270228
DR_SDN_2_02	44	DR_NonTribe	1.50380410990432	0.505766774302126	2.07506715390106	1.47481201214741
DR_SDN_2_03	45	DR_NonTribe	1.46854439981941	0.42123079830352	2.02537776789194	1.34735067987319
IE_NRP_2_01	46	IE_NonTribe	1.46790926180774	0.419708040130509	1.03426098888673	-1.19502456839736
IE_WCP_2_02	47	IE_NonTribe	1.1609566380334	-0.316218023175338	1.5875629353577	0.224284642510782
IE_NRP_2_09	48	IE_NonTribe	1.16758368286989	-0.300329528860151	1.41149658079183	-0.22735410620536
DR_ECP_2_06	49	DR_NonTribe	1.59652950762208	0.728078074566693	1.90346334098131	1.03462040635712
DR_ECP_2_05	50	DR_NonTribe	1.00504060078742	-0.690030353188298	1.7846506794573	0.729846664010666
DR_ECP_2_07	51	DR_NonTribe	1.03685909022614	-0.613744783822426	1.8624085859021	0.929308302528182
IE_NCH_1_01	52	IE_Tribe	0.887813234323873	-0.971085694082372	1.76541954965474	0.680515697728978
DR_EGH_1_01	53	DR_Tribe	0.264491439628184	-2.46551421175602	1.31437384299524	-0.476489677158115
IE_NCH_1_02	54	IE_Tribe	1.07397096249399	-0.524768205860125	1.70218072310061	0.518297853407681
DR_ECP_2_03	55	DR_NonTribe	1.05149059891253	-0.578665401032346	1.95474530182392	1.16616695131612
DR_ECP_2_04	56	DR_NonTribe	1.10973601359225	-0.439020663014482	1.8382563435732	0.86735388465539
DR_EGH_2_01	57	DR_NonTribe	0.706163647857018	-1.40659480759287	2.01692301485307	1.3256628673857
DR_SDN_2_01	58	DR_NonTribe	0.581878645045939	-1.70457099597676	1.66295046662465	0.417665884339515
DR_WGH_1_01	59	DR_Tribe	0.822755509831742	-1.12706310350933	0.823719731511831	-1.73509703294282
DR_WGH_1_02	60	DR_Tribe	0.461132466605701	-1.99406277052525	1.14234904001237	-0.917761190724082
DR_NGH_1_02	61	DR_Tribe	1.02208852385668	-0.649157560645815	0.949996831120416	-1.41117579654674
DR_NGH_1_01	62	DR_Tribe	0.310182846931478	-2.35596799876018	1.00271826445779	-1.27593677122742
AA_EPL_1_01	63	AA_Tribe	1.10432241794994	-0.451999884629805	1.61235732173508	0.287886263991948
DR_EPL_1_03	64	DR_Tribe	0.841998063638671	-1.08092863266834	0.936888307504106	-1.44480128517678
IE_EPL_2_01	65	IE_NonTribe	0.824890386475274	-1.12194468704297	1.17658968310971	-0.829928389040596
IE_NCH_1_03	66	IE_Tribe	0.975204992548405	-0.761561918703811	1.25669609904756	-0.62444244286131
DR_EPL_1_02	67	DR_Tribe	0.950564567813641	-0.82063791079101	1.43828817039081	-0.158629334613225
DR_EPL_1_01	68	DR_Tribe	0.664787282406271	-1.50579560726565	1.03765179980325	-1.18632658857466
AA_SCH_1_01	69	AA_Tribe	0.806495685120091	-1.16604641188752	1.68378148870089	0.471100833726583
IE_EPL_1_01	70	IE_Tribe	0.592996630684446	-1.67791536651111	0.95145601705715	-1.40743274801123
AA_NDN_1_01	71	AA_Tribe	0.860549286958984	-1.03645164276757	0.544599623682167	-2.45108536900247
AA_EPL_1_02	72	AA_Tribe	0.807265171413444	-1.16420155058067	0.348832095819927	-2.95326082177972
AA_EPL_1_03	73	AA_Tribe	0.536294623287472	-1.81385974962826	0.622486920668194	-2.25129182276595
AA_EPL_1_04	74	AA_Tribe	0.658088419642374	-1.52185628673417	0.72249770522248	-1.99474794358135
IE_BPV_2_01	75	IE_NonTribe	1.51715655504889	0.537779572465974	1.89125838110149	1.00331270522453
IE_CHR_1_01	76	IE_Tribe	1.59807321908466	0.731779158745647	1.67159527798717	0.439841227245223
AA_NER_1_01	77	AA_Tribe	1.02556755843173	-0.640816494238094	1.33661071024097	-0.41944850695276
TB_BPV_1_02	78	TB_Tribe	1.40688734876164	0.273406582624728	1.86350962712727	0.932132651805181
TB_BPV_1_01	79	TB_Tribe	1.57583107825229	0.678453108161726	1.43432562815522	-0.168793897975887
TB_NER_2_01	80	TB_NonTribe	1.84386176924681	1.32106293127811	1.3706192818215	-0.332211006340412
TB_WHR_1_02	81	TB_Tribe	1.59675079046445	0.728608605334158	1.49496573310328	-0.0132421959582536
TB_NER_1_01	82	TB_Tribe	1.91464421418779	1.49076549128903	0.741105515612093	-1.94701589266547
CAO	83	CAO	1.43718141079004	0.346037301776008	1.62435292507958	0.318656931664173
