IID	Population_Order	LG_Tribe
JA88783573WZ	1	IE_NonTribe
SG82435857HP	1	IE_NonTribe
ZJ97322201FC	1	IE_NonTribe
KA63291710ZO	1	IE_NonTribe
PC54555489WW	1	IE_NonTribe
WX34267289VU	1	IE_NonTribe
KY45726953VR	1	IE_NonTribe
RJ19697945GR	1	IE_NonTribe
UP31850556HZ	1	IE_NonTribe
CR79536798JK	1	IE_NonTribe
DQ11527970AF	1	IE_NonTribe
HD80741829UA	1	IE_NonTribe
AB08136228HG	1	IE_NonTribe
AS66429043RV	1	IE_NonTribe
BA00766652DO	1	IE_NonTribe
BY70796671MW	1	IE_NonTribe
CH23989192YN	1	IE_NonTribe
CP95479890XT	1	IE_NonTribe
DE12500424BE	1	IE_NonTribe
DI19045082AY	1	IE_NonTribe
EB03219133VL	1	IE_NonTribe
EJ12262560NM	1	IE_NonTribe
ET44445364TC	1	IE_NonTribe
FF13875602IJ	1	IE_NonTribe
FJ58855944UB	1	IE_NonTribe
GL20112001TN	1	IE_NonTribe
GY32266479LU	1	IE_NonTribe
HE57705341HC	1	IE_NonTribe
HV77998284PA	1	IE_NonTribe
HY93286610KM	1	IE_NonTribe
IO50915946JL	1	IE_NonTribe
JJ19997085DH	1	IE_NonTribe
JM59059007DS	1	IE_NonTribe
JW38208118LS	1	IE_NonTribe
KH22432283CV	1	IE_NonTribe
KP29328977IK	1	IE_NonTribe
KY09198004FI	1	IE_NonTribe
LA34883331XF	1	IE_NonTribe
LO15958340BC	1	IE_NonTribe
LV74693831PK	1	IE_NonTribe
MS00235052TA	1	IE_NonTribe
NC29489147JG	1	IE_NonTribe
NM30437160CW	1	IE_NonTribe
NW84598674WS	1	IE_NonTribe
OQ30239783NW	1	IE_NonTribe
OZ83705076FI	1	IE_NonTribe
PP37403993FV	1	IE_NonTribe
PQ13111803CA	1	IE_NonTribe
PR58139154XU	1	IE_NonTribe
PR96514824BG	1	IE_NonTribe
QN30395619RR	1	IE_NonTribe
QQ98329000CG	1	IE_NonTribe
QR38910544KE	1	IE_NonTribe
RE71664800BV	1	IE_NonTribe
RF28679252TS	1	IE_NonTribe
RO23907461LB	1	IE_NonTribe
RT40361059SS	1	IE_NonTribe
SC48108093TP	1	IE_NonTribe
SE97017279VE	1	IE_NonTribe
SH74960131BD	1	IE_NonTribe
SJ78010871FG	1	IE_NonTribe
SU47922069GM	1	IE_NonTribe
