Population	Population Order	Ethnolinguistic Group	mtDNA Diversity	mtDNA Diversity (Z-score)	Y diversity	Y Diversity (Z-score)
IE_NRP_2_05	1	IE_NonTribe	1.680531346	0.9494177334	1.567442843	0.1726733429
IE_NRP_2_08	2	IE_NonTribe	1.879193136	1.42705886	1.284768448	-0.5524323169
IE_WPL_2_02	3	IE_NonTribe	1.743980952	1.101969169	0.8495247882	-1.668902878
IE_WHR_1_02	4	IE_Tribe	1.855763411	1.370726939	1.368987778	-0.3363960785
IE_WHR_2_04	5	IE_NonTribe	1.854860622	1.36855637	1.649460392	0.3830616565
IE_WPL_1_01	6	IE_Tribe	1.674443003	0.9347795716	1.480746447	-0.04971697056
IE_WHR_2_05	7	IE_NonTribe	1.783496235	1.196975484	1.79316149	0.7516782744
IE_NRP_2_02	8	IE_NonTribe	1.7507997	1.118363437	1.37544382	-0.3198352831
IE_NRP_2_11	9	IE_NonTribe	1.867258509	1.398364522	1.350808772	-0.3830281774
IE_WCP_2_01	10	IE_NonTribe	1.632688096	0.8343885476	1.510148859	0.02570498389
IE_NRP_2_10	11	IE_NonTribe	1.55021379	0.6360961597	1.495558527	-0.01172158454
IE_WPL_2_03	12	IE_NonTribe	1.477578916	0.4614606489	1.71103004	0.5409977862
IE_NRP_2_06	13	IE_NonTribe	1.455773011	0.4090328666	1.398386245	-0.2609842433
IE_WHR_2_01	14	IE_NonTribe	1.831126965	1.311493709	1.796607479	0.7605177937
IE_ERP_2_02	15	IE_NonTribe	1.580431322	0.7087479579	1.385929866	-0.2929368756
IE_WHR_2_03	16	IE_NonTribe	1.94236336	1.578938581	0.6365141683	-2.215309658
IE_WHR_2_02	17	IE_NonTribe	2.066523081	1.877454916	1.68812834	0.4822512111
TB_WHR_1_01	18	TB_Tribe	1.866476389	1.396484076	1.33217904	-0.4308164592
IE_NRP_2_12	19	IE_NonTribe	1.290362898	0.01133850784	1.489994551	-0.02599408348
IE_NRP_2_13	20	IE_NonTribe	1.461769428	0.4234500099	1.813403438	0.8036021524
DR_WCP_2_02	21	DR_NonTribe	1.538015064	0.6067668483	1.670747402	0.4376662873
IE_ECP_2_02	22	IE_NonTribe	1.200563015	-0.2045667106	1.542030558	0.1074867108
IE_NDN_2_01	23	IE_NonTribe	1.389118675	0.24877632	1.788777972	0.7404338386
IE_NCH_2_01	24	IE_NonTribe	0.9460689788	-0.8164449128	1.773533904	0.7013303312
IE_WCP_2_03	25	IE_NonTribe	1.269154154	-0.03965352345	1.41379868	-0.2214488489
DR_ECP_2_02	26	DR_NonTribe	1.673009695	0.9313334816	1.718523368	0.5602193879
IE_ERP_2_04	27	IE_NonTribe	1.37044119	0.2038701754	1.098083857	-1.031308562
IE_WPL_2_01	28	IE_NonTribe	1.632925552	0.8349594612	1.870053112	0.9489177527
DR_ECP_2_08	29	DR_NonTribe	1.506513566	0.5310280221	1.818492191	0.816655628
DR_WCP_2_01	30	DR_NonTribe	1.001871948	-0.6822782296	1.745805576	0.6302026741
